,20s,30s,40s,50s,over,married,single,divorced,primary,secondary,tertiary,unknown,housing,loan,y
1958,,,X,,,,X,,,X,,,X,X,
1959,,,X,,,X,,,,X,,,X,,
1960,,,X,,,X,,,X,,,,X,,
1961,,X,,,,X,,,X,,,,X,,
1962,X,,,,,,X,,,,X,,,,X
1963,,,X,,,X,,,,,X,,X,,
1964,,X,,,,X,,,X,,,,X,,
1965,,,X,,,,X,,,,X,,,,
1966,,,X,,,X,,,X,,,,X,,
1967,,X,,,,X,,,,X,,,X,X,
1968,,,,X,,X,,,,,X,,X,,
1969,,X,,,,X,,,,,X,,X,,
1970,,X,,,,X,,,,X,,,X,,
1971,,X,,,,X,,,,X,,,X,X,
1972,,,X,,,X,,,,X,,,X,X,
1973,,,,X,,X,,,,,,X,,,
1974,,,X,,,,X,,,X,,,,,X
1975,,,,X,,,,X,,X,,,X,,
1976,X,,,,,,X,,,X,,,,,
1977,,,,X,,,,X,,,X,,,,
1978,,,,X,,X,,,,,,X,X,,
1979,,X,,,,,X,,,X,,,X,,
1980,,,,X,,X,,,,,,X,,,
1981,,,,X,,X,,,,,X,,,,
1982,,,,,X,X,,,X,,,,X,,
1983,,X,,,,,X,,,X,,,X,,
1984,,,,X,,X,,,X,,,,,,
1985,X,,,,,,X,,,,,X,,,
1986,,X,,,,,X,,,,X,,X,,
1987,,X,,,,,X,,,X,,,X,X,
1988,,,,X,,,,X,,X,,,,X,
1989,,,X,,,X,,,,X,,,X,X,
1990,,X,,,,,X,,,X,,,X,,
1991,,X,,,,,,X,,,X,,,,X
1992,,,X,,,X,,,,X,,,X,,
1993,,,X,,,X,,,,,,X,X,,
1994,,,X,,,X,,,X,,,,X,,X
1995,,X,,,,,X,,,X,,,,,
1996,,,,X,,,,X,,,X,,X,X,
1997,X,,,,,,X,,,X,,,X,,
1998,,,,X,,X,,,,X,,,X,,
1999,,X,,,,X,,,,X,,,X,X,
2000,X,,,,,X,,,X,,,,X,,
2001,,,X,,,X,,,X,,,,X,X,
2002,,X,,,,,X,,,,X,,X,,
2003,,,X,,,X,,,,X,,,X,X,
2004,X,,,,,,X,,,X,,,X,X,
2005,,,,X,,X,,,,X,,,X,,
2006,,,,X,,X,,,X,,,,,,
2007,,X,,,,,X,,,X,,,X,,
2008,,X,,,,X,,,,X,,,X,,
2009,X,,,,,X,,,X,,,,X,,
2010,,X,,,,,X,,,,X,,,,
2011,,X,,,,X,,,X,,,,X,X,
2012,,X,,,,X,,,,,X,,,,
2013,,X,,,,,X,,,X,,,X,,
2014,,,,,X,,,X,,X,,,,,X
2015,,,X,,,,X,,,,X,,X,,X
2016,,,X,,,X,,,,X,,,X,,
2017,,X,,,,,X,,,,X,,X,,X
2018,,,,X,,,,X,,,X,,,,
2019,,,,X,,X,,,X,,,,X,,
2020,,X,,,,X,,,,X,,,,X,
2021,,,X,,,X,,,,,X,,,,
2022,,X,,,,,X,,,,X,,,,
2023,,,X,,,X,,,,X,,,,X,
2024,,,X,,,,,X,,,X,,X,,
2025,,X,,,,,X,,,,X,,,,
2026,X,,,,,X,,,,X,,,X,,
2027,,X,,,,,X,,X,,,,X,X,
2028,,,X,,,X,,,,X,,,X,,
2029,,,,X,,,,X,,,X,,X,,
2030,,,X,,,X,,,,,,X,,,
2031,,X,,,,X,,,,,X,,X,,
2032,,,,X,,X,,,X,,,,,,X
2033,,,X,,,,,X,X,,,,,X,X
2034,,,X,,,X,,,,X,,,X,,
2035,,,,X,,,,X,,,X,,,,
2036,,,X,,,X,,,,,X,,X,,
2037,,X,,,,X,,,,,X,,X,X,X
2038,,X,,,,,X,,,X,,,X,,
2039,,,X,,,X,,,,,X,,,,
2040,,X,,,,X,,,,X,,,,,
2041,,,,,X,X,,,X,,,,,,
2042,,,X,,,X,,,,X,,,X,,
2043,,,,X,,X,,,X,,,,,X,
2044,,,X,,,X,,,,,X,,X,,
2045,,,,X,,X,,,,,X,,,X,
2046,X,,,,,,X,,,X,,,X,,
2047,,,X,,,X,,,,,X,,,,
2048,,,,X,,X,,,X,,,,,X,
2049,,,,X,,X,,,X,,,,,,X
2050,,,,X,,X,,,X,,,,X,,
2051,,X,,,,,X,,,X,,,X,,X
2052,,,,X,,X,,,,X,,,,X,
2053,X,,,,,,X,,,X,,,X,,
2054,,,,X,,X,,,,X,,,,X,
2055,,,X,,,X,,,,X,,,X,,X
2056,,,,X,,X,,,,X,,,X,,
2057,,,,X,,X,,,,X,,,,X,
2058,,,,X,,,,X,,,X,,X,,
2059,,X,,,,X,,,,X,,,X,X,
2060,,,X,,,X,,,X,,,,X,,
2061,,X,,,,X,,,,X,,,X,,
2062,X,,,,,X,,,,,,X,X,,
2063,,X,,,,X,,,X,,,,X,,
2064,,X,,,,,X,,,,X,,X,,
2065,,X,,,,,X,,,,X,,,,
2066,,,,X,,,,X,,,X,,X,,
2067,,,X,,,,,X,X,,,,X,,
2068,,,X,,,X,,,,X,,,X,,X
2069,,X,,,,,X,,,,X,,X,,
2070,,,,,X,X,,,,X,,,,,
2071,,X,,,,X,,,,X,,,X,,
2072,,,X,,,,X,,,,X,,X,X,
2073,,X,,,,,X,,,X,,,,,X
2074,,,,X,,X,,,,X,,,,X,
2075,,,,,X,X,,,,,X,,,,
2076,,,X,,,X,,,,X,,,X,,
2077,,X,,,,,X,,,,X,,X,,X
2078,,X,,,,,X,,,X,,,,,
2079,,X,,,,,,X,,,X,,X,,
2080,,X,,,,,,X,,X,,,,,
2081,,,X,,,X,,,,,,X,,,
2082,,,X,,,,,X,X,,,,,,
2083,,,X,,,X,,,,X,,,X,,
2084,,,X,,,X,,,,X,,,X,,
2085,,X,,,,X,,,,X,,,X,,
2086,,X,,,,X,,,X,,,,,,
2087,X,,,,,,X,,,X,,,,,
2088,X,,,,,,X,,,,X,,,,
2089,,X,,,,,X,,,,X,,X,,X
2090,,,X,,,X,,,,X,,,X,,
2091,,,,X,,X,,,,X,,,,X,
2092,,,,X,,X,,,,X,,,,,
2093,,,X,,,X,,,,X,,,,,
2094,,,,X,,X,,,,X,,,,,
2095,,X,,,,X,,,X,,,,X,,
2096,,,,X,,X,,,,,X,,X,,
2097,,,,X,,,,X,,,X,,X,,
2098,,,,X,,X,,,,X,,,X,,
2099,,,,X,,X,,,,,X,,,,
2100,,X,,,,,X,,,,X,,X,,
2101,,,X,,,X,,,,X,,,X,,
2102,,,X,,,X,,,,,X,,,,
2103,,X,,,,X,,,,X,,,X,,
2104,,X,,,,,,X,,,X,,,,
2105,,X,,,,X,,,,X,,,X,,
2106,,,X,,,X,,,X,,,,,,
2107,,X,,,,,,X,,,X,,,,
2108,,,X,,,,,X,X,,,,X,,
2109,X,,,,,,X,,,X,,,X,,
2110,,X,,,,X,,,,X,,,X,,
2111,,X,,,,,X,,,,X,,,,
2112,,,X,,,X,,,,X,,,X,,
2113,,X,,,,X,,,,X,,,X,,
2114,,X,,,,X,,,,,X,,X,,X
2115,,,X,,,X,,,X,,,,,,
2116,,X,,,,,X,,X,,,,X,,
2117,,,X,,,X,,,X,,,,,,
2118,,,,X,,X,,,X,,,,,X,
2119,,X,,,,X,,,,,X,,,,
2120,,,,,X,,,X,,,X,,,,X
2121,X,,,,,,X,,,X,,,X,,
2122,,,X,,,X,,,,X,,,,,X
2123,,,X,,,,,X,,X,,,X,,
2124,,,X,,,X,,,,,X,,X,,
2125,,,,X,,X,,,,X,,,,X,
2126,,,,X,,X,,,X,,,,X,,
2127,,X,,,,,,X,,,X,,,,
2128,,X,,,,X,,,X,,,,X,,
2129,,,X,,,X,,,X,,,,X,,X
2130,,X,,,,,X,,X,,,,X,,
2131,,X,,,,X,,,,,X,,X,,X
2132,X,,,,,X,,,,X,,,,,
2133,,,,X,,X,,,,,X,,,,
2134,,,,X,,X,,,,X,,,X,X,
2135,,,,X,,X,,,,,X,,,,
2136,,X,,,,X,,,,,X,,X,,
2137,,,,X,,X,,,X,,,,,,
2138,X,,,,,,X,,,X,,,,X,
2139,,,X,,,X,,,,,X,,,,
2140,,,X,,,,X,,,,X,,,,X
2141,,X,,,,X,,,,X,,,X,X,
2142,,X,,,,,X,,,X,,,X,,
2143,,X,,,,X,,,,,X,,X,,X
2144,X,,,,,X,,,,X,,,,X,
2145,,X,,,,X,,,X,,,,,,
2146,,X,,,,X,,,,X,,,,,
2147,,X,,,,,X,,,X,,,,,
2148,,,,,X,X,,,,,X,,,,X
2149,,X,,,,,X,,,,X,,X,,
2150,,X,,,,X,,,,X,,,X,,
2151,,,,X,,,,X,X,,,,X,,
2152,X,,,,,,X,,,X,,,,,
2153,,,X,,,X,,,X,,,,X,,
2154,,X,,,,X,,,,X,,,X,,
2155,,X,,,,X,,,X,,,,X,,
2156,X,,,,,X,,,,X,,,X,,
2157,,,,X,,X,,,,X,,,,X,
2158,,,X,,,X,,,,,X,,,,
2159,,X,,,,X,,,,X,,,,,X
2160,,,,,X,X,,,,,X,,,,
2161,,,,X,,X,,,X,,,,,,
2162,,,X,,,,X,,,X,,,,,
2163,,,,X,,X,,,,X,,,X,,
2164,,X,,,,X,,,,X,,,X,X,
2165,,X,,,,X,,,,X,,,X,,
2166,,,X,,,X,,,,X,,,X,,
2167,,,X,,,X,,,X,,,,,,
2168,,,X,,,X,,,,X,,,X,,X
2169,X,,,,,,X,,,X,,,,,
2170,,,,X,,,,X,,,X,,X,,
2171,X,,,,,X,,,,X,,,X,X,
2172,,X,,,,,X,,X,,,,X,,
2173,,,,X,,X,,,,,,X,X,,
2174,,X,,,,X,,,,X,,,X,,
2175,,,,X,,,,X,,,X,,,,
2176,X,,,,,,X,,,X,,,X,,X
2177,X,,,,,,X,,,X,,,X,,
2178,,X,,,,X,,,,X,,,,,
2179,,,,X,,X,,,,,X,,,,
2180,,X,,,,X,,,,X,,,X,,
2181,,X,,,,,X,,,X,,,X,,
2182,,,X,,,X,,,,X,,,X,,X
2183,,,X,,,X,,,X,,,,,X,
2184,,X,,,,X,,,,,X,,X,X,
2185,,,X,,,X,,,,X,,,X,,
2186,,X,,,,X,,,,X,,,,,
2187,,,,X,,X,,,X,,,,,,
2188,,,X,,,,X,,,X,,,X,,
2189,,,X,,,X,,,X,,,,X,X,
2190,,X,,,,X,,,,,X,,,,
2191,,,X,,,X,,,,,X,,,,
2192,X,,,,,,X,,,X,,,X,X,
2193,,X,,,,,X,,,,,X,X,,
2194,,,X,,,X,,,,,X,,,X,
2195,X,,,,,,X,,X,,,,X,,X
2196,,,,X,,,,X,,,X,,X,,
2197,,X,,,,X,,,,X,,,X,X,
2198,,X,,,,X,,,,X,,,,X,
2199,,X,,,,,,X,,X,,,,X,
2200,,,,X,,X,,,,X,,,,,
2201,X,,,,,,X,,,,X,,X,,
2202,X,,,,,X,,,,,X,,X,X,X
2203,,X,,,,,X,,,,X,,,,
2204,,,X,,,X,,,,X,,,,,
2205,,,X,,,,,X,,X,,,,,
2206,,X,,,,X,,,,,X,,,,
2207,X,,,,,,X,,,X,,,X,,
2208,X,,,,,X,,,,X,,,X,,
2209,,,,X,,X,,,,X,,,,,
2210,,X,,,,X,,,,,X,,,,
2211,,,,X,,,,X,,,X,,,,
2212,,X,,,,X,,,,,X,,X,,X
2213,X,,,,,,X,,,X,,,,,X
2214,,,X,,,,,X,,X,,,X,,
2215,,X,,,,,X,,,,,X,X,,
2216,,X,,,,X,,,,X,,,,,
2217,,,,X,,X,,,,,X,,,,
2218,,,,X,,X,,,X,,,,X,,
2219,,,X,,,X,,,,X,,,X,,X
2220,,X,,,,X,,,,X,,,X,X,X
2221,,X,,,,X,,,,,X,,,,
2222,,X,,,,X,,,,X,,,X,,
2223,,,X,,,,,X,,X,,,X,X,
2224,,,X,,,,X,,,,X,,X,,
2225,,X,,,,,X,,,,X,,,,
2226,,X,,,,X,,,,,X,,X,,
2227,,X,,,,,X,,,,X,,,,
2228,,,X,,,X,,,,X,,,,,
2229,,,X,,,,,X,,X,,,X,X,
2230,,,X,,,,X,,,X,,,,X,
2231,,X,,,,,X,,,,X,,,,
2232,,X,,,,X,,,,X,,,X,,
2233,X,,,,,X,,,,X,,,X,,X
2234,,X,,,,X,,,,X,,,X,,
2235,,,X,,,,X,,,,X,,,X,
2236,,X,,,,,,X,,X,,,X,,
2237,,,X,,,X,,,,X,,,X,X,
2238,X,,,,,X,,,,,X,,X,,
2239,,,X,,,X,,,,X,,,X,,
2240,,,,X,,X,,,,X,,,X,,
2241,,,X,,,X,,,X,,,,X,,
2242,,X,,,,,X,,,X,,,,X,
2243,,X,,,,X,,,,X,,,X,,
2244,,,,X,,,X,,,,X,,X,X,
2245,,,X,,,X,,,,X,,,X,,
2246,X,,,,,,X,,,X,,,X,X,
2247,,X,,,,X,,,,X,,,X,X,
2248,,X,,,,X,,,,X,,,X,,
2249,,,X,,,,,X,,,X,,,,
2250,,,,X,,X,,,,,X,,X,,
2251,,X,,,,X,,,,,X,,,,X
2252,,,X,,,X,,,X,,,,,,
2253,,X,,,,,X,,,X,,,,,
2254,,,X,,,X,,,,,X,,X,,
2255,,X,,,,,X,,,,X,,X,,
2256,,,X,,,,X,,,X,,,,,
2257,,,,X,,X,,,,X,,,,,
2258,,,,,X,X,,,X,,,,,,
2259,,,X,,,X,,,,,X,,X,,X
2260,,,X,,,,,X,,X,,,,,
2261,,X,,,,,X,,,X,,,,,
2262,,X,,,,,X,,,,X,,,,
2263,,,,X,,X,,,,X,,,X,,
2264,,,,X,,X,,,,,X,,,,
2265,,,X,,,X,,,,,X,,X,,
2266,,,,X,,X,,,,X,,,,,
2267,,X,,,,,X,,X,,,,,,
2268,,X,,,,,X,,,X,,,X,,
2269,X,,,,,,X,,,X,,,X,,
2270,,,,X,,X,,,,X,,,X,,
2271,,X,,,,,X,,,,X,,X,,
2272,,,X,,,,,X,,,X,,X,X,
2273,,,X,,,X,,,X,,,,X,,
2274,,X,,,,,X,,,X,,,X,,X
2275,,,X,,,X,,,,,X,,X,,
2276,,,X,,,X,,,X,,,,X,X,
2277,,X,,,,X,,,,X,,,,,
2278,,X,,,,,X,,,X,,,,,
2279,,X,,,,X,,,,X,,,X,,
2280,X,,,,,,X,,,X,,,X,,
2281,,,,X,,X,,,,X,,,,,
2282,,,X,,,,X,,X,,,,X,,
2283,,,X,,,X,,,,,X,,X,,
2284,,,X,,,X,,,,X,,,X,,
2285,,,X,,,X,,,,X,,,X,,
2286,,X,,,,,X,,,X,,,,,
2287,,X,,,,X,,,,,X,,,,
2288,,,,X,,X,,,,X,,,,,
2289,X,,,,,,X,,,X,,,,,
2290,,X,,,,X,,,,,X,,X,,
2291,,,X,,,X,,,,X,,,,,
2292,,,X,,,,X,,,,X,,,,
2293,,X,,,,X,,,,X,,,X,X,
2294,,,X,,,X,,,,X,,,,X,
2295,,X,,,,X,,,,X,,,,X,
2296,,X,,,,X,,,,X,,,X,,X
2297,,X,,,,X,,,,,X,,,,
2298,,X,,,,X,,,,,X,,X,,
2299,,X,,,,X,,,,,X,,X,,
2300,,X,,,,X,,,,X,,,,,
2301,,,,X,,,,X,,X,,,,X,
2302,X,,,,,,X,,,X,,,X,,
2303,,,X,,,X,,,,,,X,,,
2304,,,,X,,X,,,,X,,,,,
2305,,X,,,,,,X,,X,,,X,,
2306,,X,,,,X,,,,,X,,X,,
2307,,,X,,,,,X,,,X,,,,
2308,,X,,,,,,X,,,X,,X,,
2309,,X,,,,X,,,,,X,,,,
2310,,,,X,,X,,,,,X,,,,
2311,,,,X,,X,,,,,X,,X,,
2312,,X,,,,X,,,,X,,,X,,
2313,,,,X,,,,X,,,X,,X,,
2314,,,,X,,,,X,X,,,,,,
2315,,,,X,,,X,,,,X,,X,,
2316,,,X,,,X,,,,,X,,X,,
2317,,,,X,,,X,,X,,,,,,
2318,,,,X,,X,,,,X,,,X,,
2319,,,X,,,X,,,,X,,,,,
2320,X,,,,,,X,,,,X,,,,
2321,X,,,,,,X,,,X,,,X,,X
2322,,X,,,,X,,,X,,,,,,
2323,,,X,,,X,,,,X,,,,,
2324,,X,,,,X,,,,X,,,X,X,
2325,,X,,,,,X,,,X,,,X,,
2326,,X,,,,X,,,,X,,,X,,
2327,,,X,,,X,,,,X,,,X,X,
2328,X,,,,,,X,,,X,,,X,,
2329,,X,,,,,,X,,X,,,X,,
2330,X,,,,,,X,,,X,,,X,,
2331,,X,,,,,X,,,,X,,,,
2332,,X,,,,X,,,,,X,,X,,X
2333,,X,,,,X,,,,X,,,,,
2334,,X,,,,X,,,,X,,,X,,
2335,,X,,,,,X,,,,X,,X,,
2336,,X,,,,X,,,,,X,,X,,
2337,X,,,,,X,,,,,X,,X,,
2338,X,,,,,X,,,,X,,,,,
2339,,,,X,,X,,,,X,,,X,,
2340,X,,,,,X,,,,X,,,,,
2341,,X,,,,X,,,,X,,,,,
2342,,X,,,,X,,,X,,,,X,,
2343,,X,,,,X,,,,,X,,,,
2344,,X,,,,X,,,,,X,,X,,
2345,X,,,,,,X,,,X,,,X,X,
2346,,X,,,,X,,,,,X,,X,,
2347,,X,,,,,X,,,,X,,X,,
2348,,X,,,,,X,,,,X,,,,
2349,X,,,,,,X,,,X,,,X,X,
2350,,X,,,,X,,,,X,,,X,,
2351,,,,X,,X,,,,,,X,,,
2352,,X,,,,X,,,,X,,,,,
2353,,X,,,,X,,,,X,,,X,,
2354,,X,,,,,X,,,X,,,,,
2355,,X,,,,X,,,,X,,,X,X,
2356,,X,,,,X,,,,X,,,X,X,
2357,,X,,,,,X,,,X,,,,,
2358,,,,X,,X,,,X,,,,X,,
2359,,X,,,,,X,,,X,,,X,,
2360,,,X,,,X,,,X,,,,,,
2361,,X,,,,,,X,,X,,,X,,
2362,,,,X,,X,,,,X,,,X,,
2363,,,,X,,,,X,,,X,,,X,
2364,,X,,,,X,,,,X,,,X,,
2365,,X,,,,,,X,,X,,,X,,
2366,X,,,,,,X,,,X,,,,,
2367,,,X,,,,X,,,,,X,X,,
2368,,X,,,,X,,,,X,,,X,,
2369,,,X,,,X,,,,X,,,X,,
2370,,X,,,,,X,,,X,,,X,,X
2371,,X,,,,,,X,,,X,,X,,
2372,,,X,,,,X,,,X,,,X,,X
2373,X,,,,,X,,,,X,,,X,,
2374,,X,,,,,,X,,X,,,X,,
2375,X,,,,,,X,,,X,,,,,X
2376,,X,,,,X,,,,X,,,X,,X
2377,,X,,,,,X,,,X,,,,,
2378,,X,,,,X,,,,X,,,X,,
2379,,,X,,,,,X,,X,,,X,,
2380,,X,,,,,X,,,X,,,X,,
2381,,X,,,,X,,,,X,,,,,
2382,X,,,,,,X,,,,X,,,X,
2383,,X,,,,,X,,,X,,,X,,
2384,,X,,,,X,,,,,X,,X,,
2385,,,X,,,X,,,,X,,,X,X,
2386,,X,,,,X,,,,,X,,X,,
2387,,,,X,,X,,,X,,,,X,,
2388,,X,,,,X,,,,X,,,X,,
2389,,,,X,,X,,,,,X,,,X,
2390,X,,,,,,X,,,X,,,,X,
2391,,,,X,,,,X,,,X,,,X,
2392,,X,,,,X,,,,,X,,X,X,
2393,,,X,,,X,,,,X,,,X,,
2394,,,X,,,X,,,,X,,,,,
2395,,X,,,,,X,,,X,,,X,,
2396,,X,,,,X,,,,,X,,,,
2397,,,X,,,,X,,X,,,,X,,
2398,,,,X,,X,,,,X,,,,X,
2399,,,,,X,X,,,,X,,,,,
2400,,,X,,,X,,,,X,,,,,
2401,,X,,,,X,,,,,X,,X,,
2402,,,,X,,X,,,X,,,,X,,
2403,,,X,,,X,,,,X,,,X,,
2404,,,,X,,X,,,X,,,,,,
2405,,,X,,,X,,,,X,,,X,X,
2406,,X,,,,X,,,,X,,,X,,
2407,,,X,,,X,,,X,,,,,,
2408,,,X,,,X,,,,X,,,X,,
2409,,X,,,,,X,,,X,,,,,
2410,,X,,,,,X,,,,X,,X,,
2411,,,X,,,,,X,,X,,,X,,
2412,,,,X,,X,,,X,,,,,X,
2413,,X,,,,X,,,,X,,,X,,
2414,,,,X,,X,,,,X,,,,,
2415,,,X,,,X,,,,,X,,,,
2416,,X,,,,,X,,,,X,,X,X,
2417,,,,,X,X,,,,,X,,,,
2418,,X,,,,,X,,,,X,,,,
2419,,,X,,,,X,,,X,,,,X,X
2420,,X,,,,X,,,,,X,,,,
2421,,,X,,,,X,,,,X,,,,X
2422,,,X,,,X,,,X,,,,X,,
2423,,X,,,,,X,,,X,,,,,
2424,,,X,,,X,,,,,X,,,,
2425,,X,,,,X,,,,X,,,X,X,
2426,,,X,,,X,,,,X,,,X,,
2427,,X,,,,,X,,,,X,,,,
2428,X,,,,,,X,,,X,,,X,,
2429,X,,,,,,X,,,X,,,,,
2430,,,,X,,X,,,,X,,,,X,
2431,,,X,,,X,,,,X,,,,,X
2432,,X,,,,,,X,,,X,,,,
2433,,,,,X,X,,,X,,,,,,X
2434,,X,,,,,X,,,X,,,,X,
2435,,,X,,,X,,,,,X,,X,,
2436,,,,X,,X,,,,X,,,,,X
2437,,X,,,,,X,,,X,,,X,,
2438,,X,,,,X,,,,,X,,X,X,
2439,X,,,,,X,,,,X,,,X,,
2440,,,X,,,,,X,,,X,,X,,
2441,,X,,,,X,,,,X,,,X,,
2442,,,X,,,X,,,,X,,,X,,
2443,X,,,,,,X,,,,X,,X,,
2444,,X,,,,X,,,,X,,,X,,X
2445,,X,,,,X,,,,,X,,X,X,
2446,,X,,,,X,,,,X,,,X,,
2447,,,X,,,X,,,X,,,,,,
2448,X,,,,,,X,,,,X,,,,
2449,,X,,,,X,,,,,X,,,,X
2450,,,X,,,X,,,X,,,,X,,
2451,,,,X,,X,,,,X,,,,,
2452,,,X,,,,,X,,,X,,X,,
2453,X,,,,,X,,,,,X,,X,X,
2454,,X,,,,X,,,,,X,,,,
2455,,X,,,,X,,,,X,,,,,
2456,,,,X,,X,,,X,,,,X,,
2457,,,,X,,,,X,,X,,,,,
2458,,,X,,,X,,,,X,,,X,X,
2459,,,X,,,X,,,X,,,,,,
2460,X,,,,,,X,,X,,,,X,,
2461,,X,,,,,X,,,X,,,X,,
2462,,X,,,,X,,,,,X,,X,,
2463,,,X,,,,X,,,,,X,,,
2464,X,,,,,,X,,,,X,,X,,X
2465,,,X,,,,X,,X,,,,,,
2466,,,X,,,X,,,,X,,,,,
2467,,X,,,,,X,,,X,,,X,,
2468,X,,,,,,X,,,X,,,X,,
2469,,,,X,,X,,,X,,,,X,X,
2470,,X,,,,X,,,,,X,,X,,
2471,X,,,,,,X,,,X,,,,,X
2472,,,,X,,X,,,,X,,,X,,
2473,,X,,,,X,,,,,X,,X,,
2474,,X,,,,X,,,,,X,,X,,
2475,,,,X,,,,X,,X,,,X,,
2476,,,X,,,X,,,,X,,,,,
2477,,,,X,,X,,,X,,,,,,X
2478,,,,X,,,,X,,X,,,,,
2479,,X,,,,X,,,,X,,,X,X,
2480,,X,,,,,,X,,X,,,,X,X
2481,,X,,,,X,,,,,X,,,,
2482,,,,,X,X,,,,X,,,,,
2483,,,X,,,X,,,,X,,,X,,
2484,X,,,,,,X,,,,X,,,,
2485,,X,,,,X,,,,,X,,X,,
2486,,,,X,,X,,,,,,X,,,X
2487,,X,,,,,,X,,,X,,,,
2488,,X,,,,X,,,,X,,,X,,
2489,,,,X,,X,,,X,,,,,X,
2490,,X,,,,X,,,,X,,,,,
2491,,,,X,,X,,,X,,,,,,
2492,,,,X,,,X,,,,X,,X,,
2493,,X,,,,,X,,,X,,,,,
2494,,,X,,,,,X,,X,,,,X,
2495,,X,,,,,X,,,,X,,X,,
2496,,,X,,,,X,,,,X,,X,,
2497,,,X,,,X,,,X,,,,X,,
2498,,X,,,,X,,,,X,,,X,,
2499,,X,,,,X,,,,,X,,,,X
2500,,X,,,,,X,,,,X,,,,
2501,,,,X,,X,,,,X,,,X,,
2502,,X,,,,X,,,,X,,,,,
2503,,,,X,,X,,,,,X,,,,
2504,,X,,,,X,,,,X,,,X,X,
2505,,,,X,,,,X,,,X,,,X,
2506,X,,,,,X,,,,X,,,X,,
2507,,,X,,,,X,,,X,,,X,,
2508,,,X,,,X,,,,,,X,,,
2509,,,X,,,X,,,X,,,,X,,
2510,,,,X,,,,X,,X,,,,X,
2511,,,,,X,X,,,X,,,,,,
2512,,,,X,,X,,,X,,,,,X,X
2513,,X,,,,X,,,X,,,,X,,
2514,,X,,,,,X,,,,,X,X,,
2515,,X,,,,X,,,,X,,,X,,
2516,,X,,,,X,,,,,X,,X,,
2517,,,X,,,X,,,,,,X,X,,
2518,,X,,,,,X,,,X,,,,,
2519,,,X,,,,X,,,,X,,,,
2520,,X,,,,,,X,,,X,,X,,
2521,,,X,,,X,,,,X,,,X,,
2522,,,,X,,,,X,,X,,,,,
2523,,,X,,,,,X,,,X,,X,X,
2524,,X,,,,X,,,,X,,,X,,
2525,,,,X,,X,,,,,,X,,,
2526,,X,,,,,X,,,,X,,X,,
2527,,X,,,,,X,,,X,,,X,X,
2528,,X,,,,X,,,,X,,,X,,
2529,,,X,,,,X,,,,X,,,,
2530,,X,,,,,X,,,,X,,,,
2531,,,,,X,X,,,,,,X,,,
2532,,,X,,,,,X,,X,,,X,,
2533,,,,X,,X,,,,,X,,,,
2534,,X,,,,X,,,X,,,,,,
2535,,X,,,,,X,,,,X,,,,
2536,,,,X,,,,X,X,,,,,,
2537,X,,,,,X,,,X,,,,X,,
2538,,,X,,,X,,,,X,,,X,,
2539,,,X,,,,,X,,X,,,,,X
2540,,X,,,,X,,,,,X,,X,,X
2541,,,X,,,X,,,,,,X,X,,
2542,,X,,,,,X,,,X,,,X,,
2543,,X,,,,X,,,,,X,,,X,
2544,,,,X,,,,X,X,,,,,X,
2545,,,X,,,,X,,,X,,,X,X,
2546,,,X,,,X,,,,X,,,X,,
2547,,,,,X,X,,,,X,,,X,,
2548,,X,,,,X,,,,,,X,X,,
2549,,X,,,,,X,,,,X,,,,
2550,,,X,,,X,,,,,X,,,X,
2551,,X,,,,,,X,,X,,,,,
2552,X,,,,,X,,,,X,,,X,,
2553,,X,,,,X,,,,,X,,X,,X
2554,,X,,,,X,,,,X,,,X,,
2555,,,X,,,X,,,,,X,,,,
2556,,X,,,,,,X,,X,,,X,,X
2557,,,X,,,,,X,,X,,,X,,
2558,,,,,X,X,,,X,,,,,,
2559,,,X,,,X,,,,X,,,X,,
2560,,,X,,,X,,,,X,,,X,,
2561,,X,,,,X,,,,X,,,X,,
2562,,,X,,,,,X,,X,,,,,
2563,,,,X,,X,,,,X,,,X,,
2564,,,,X,,,,X,,X,,,X,X,
2565,X,,,,,,X,,,,,X,X,,
2566,,X,,,,X,,,,,,X,,,
2567,,,X,,,X,,,,X,,,X,X,
2568,,,,,X,X,,,,X,,,,,X
2569,,,,X,,X,,,,X,,,X,,
2570,,,,X,,X,,,,X,,,,,
2571,X,,,,,X,,,,X,,,,,
2572,X,,,,,X,,,,X,,,X,,
2573,,X,,,,X,,,,X,,,X,X,
2574,X,,,,,,X,,,X,,,X,,
2575,,,X,,,X,,,,X,,,X,,
2576,,X,,,,,X,,,X,,,,X,
2577,,X,,,,X,,,X,,,,X,,
2578,,,X,,,X,,,,X,,,,,
2579,,,X,,,X,,,,,X,,X,,
2580,,X,,,,X,,,,X,,,X,,
2581,,X,,,,,X,,,,X,,X,,
2582,,X,,,,X,,,,X,,,X,,
2583,,,,X,,X,,,,,X,,,,X
2584,,X,,,,X,,,,,X,,,,
2585,,,,,X,X,,,X,,,,,,
2586,,X,,,,,X,,,X,,,X,X,
2587,,X,,,,X,,,,,X,,X,,
2588,,,X,,,,,X,,,X,,,,
2589,,,X,,,,,X,,,X,,X,X,
2590,,,,X,,X,,,,X,,,X,,
2591,,X,,,,X,,,,,X,,X,X,
2592,,X,,,,,,X,,X,,,X,,
2593,,,X,,,,X,,,X,,,X,,
2594,,,X,,,X,,,,X,,,X,X,
2595,,X,,,,,X,,,X,,,,,
